"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_01[True]","tests.helpers.tests","Sun Jan 18 14:38:19 UTC 2026","passed","Sun Jan 18 14:38:19 UTC 2026","","test_custom_assert","",""
"
直接Taskをdeleteクエリで削除しても、子のDoneは削除されないこと。
","9","test_delete_by_delete_query","tests.unit.crud","Sun Jan 18 14:38:19 UTC 2026","passed","Sun Jan 18 14:38:19 UTC 2026","TestTaskCascade","test_task","",""
"","0","test_is_lower[AIUEO@example.com]","tests.unit.schemas","Sun Jan 18 14:38:21 UTC 2026","passed","Sun Jan 18 14:38:21 UTC 2026","TestCustomEmailStr > TestIsValid","test_common","",""
"
ilikeを使用しないパターン
","6","test_lower_case","tests.unit.crud","Sun Jan 18 14:38:19 UTC 2026","passed","Sun Jan 18 14:38:19 UTC 2026","TestUser > TestFindByEmail > TestPartialMatch","test_user","",""
"","1","test_one","tests.unit.models","Sun Jan 18 14:38:20 UTC 2026","passed","Sun Jan 18 14:38:20 UTC 2026","TestIterator","test_minors","",""
"","0","test_ignore_none_is_true","tests.unit.helper","Sun Jan 18 14:38:20 UTC 2026","passed","Sun Jan 18 14:38:20 UTC 2026","TestDateTimeResolver > TestIsChronological","test_datetime_resolver","",""
"","0","test_03[value1]","tests.unit.schemas","Sun Jan 18 14:38:21 UTC 2026","skipped","Sun Jan 18 14:38:21 UTC 2026","TestJson","test_json","",""
"","0","test_02","tests.unit.models","Sun Jan 18 14:38:21 UTC 2026","passed","Sun Jan 18 14:38:21 UTC 2026","TestTuple","test_tuple","",""
"","0","test_nested_defaultdict","tests.unit.models","Sun Jan 18 14:38:20 UTC 2026","passed","Sun Jan 18 14:38:20 UTC 2026","TestDefaultDict","test_defaultdict","",""
"","0","test_salt","tests.unit.usecase","Sun Jan 18 14:38:21 UTC 2026","passed","Sun Jan 18 14:38:21 UTC 2026","TestTotp > TestCreateSalt","test_usecase_totp","",""
"
DBの kirimaru ではなく、Appで加工した「削除済ユーザ」で検索するので、Appを経由すると取得できない。
","5","test_cant_find_app_name","tests.unit.crud","Sun Jan 18 14:38:19 UTC 2026","passed","Sun Jan 18 14:38:19 UTC 2026","TestUser > TestName","test_user","",""
"","1","test_one[適当な年齢]","tests.unit.models","Sun Jan 18 14:38:21 UTC 2026","passed","Sun Jan 18 14:38:21 UTC 2026","TestAge","test_user","",""
"","10","test_setter","tests.unit.crud","Sun Jan 18 14:38:19 UTC 2026","passed","Sun Jan 18 14:38:19 UTC 2026","TestUser > TestName","test_user","",""
"","12","test_add_and_expunge","tests.unit.models","Sun Jan 18 14:38:21 UTC 2026","passed","Sun Jan 18 14:38:21 UTC 2026","TestTask > TestGetTasksWithDoneInnerJoin > TestExpunge > TestOneToMany","test_task","",""
"実行時間の精度テスト","201","test_timeit_execution_time_accuracy","tests.unit.helper","Sun Jan 18 14:38:20 UTC 2026","passed","Sun Jan 18 14:38:20 UTC 2026","TestTimeitContextManager","test_helper","",""
"
tzありとtzありは比較可能
","0","test_01","tests.unit.schemas","Sun Jan 18 14:38:21 UTC 2026","passed","Sun Jan 18 14:38:21 UTC 2026","TestTimezone","test_datetime_serialize","",""
"","0","test_03[value2]","tests.unit.schemas","Sun Jan 18 14:38:21 UTC 2026","skipped","Sun Jan 18 14:38:21 UTC 2026","TestJson","test_json","",""
"","6","test_03","tests.unit.crud","Sun Jan 18 14:38:19 UTC 2026","passed","Sun Jan 18 14:38:19 UTC 2026","TestUser > TestDefault","test_user","",""
"","0","test_list_compression","tests.unit.models","Sun Jan 18 14:38:20 UTC 2026","passed","Sun Jan 18 14:38:20 UTC 2026","TestForPythonista","test_for_pythonista","",""
