"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat Oct 12 11:39:56 GMT 2024","Sat Oct 12 11:39:56 GMT 2024","0","tests.unit.crud","test_user","TestUserRelationShip","","","test_01",""
"passed","Sat Oct 12 11:39:56 GMT 2024","Sat Oct 12 11:39:56 GMT 2024","9","tests.unit.models","test_task","TestTask","","","test_get_single",""
"skipped","Sat Oct 12 11:39:56 GMT 2024","Sat Oct 12 11:39:56 GMT 2024","0","tests.unit.schemas","test_json","TestJson","","","test_01[value1-True]",""
"passed","Sat Oct 12 11:39:56 GMT 2024","Sat Oct 12 11:39:56 GMT 2024","1","tests.unit.models","test_case","TestCase","","","test_point[0-0-Origin]",""
"skipped","Sat Oct 12 11:39:56 GMT 2024","Sat Oct 12 11:39:56 GMT 2024","0","tests.unit.schemas","test_json","TestJson","","","test_02[value2]",""
"passed","Sat Oct 12 11:39:56 GMT 2024","Sat Oct 12 11:39:56 GMT 2024","0","tests.unit.decolator","test_decolator","","","","test_01",""
"passed","Sat Oct 12 11:39:56 GMT 2024","Sat Oct 12 11:39:56 GMT 2024","0","tests.unit.models","test_user","TestAge","","","test_one[input_birth_day0-0]",""
"skipped","Sat Oct 12 11:39:56 GMT 2024","Sat Oct 12 11:39:56 GMT 2024","0","tests.unit.models","test_search","","","","test_03",""
"passed","Sat Oct 12 11:39:55 GMT 2024","Sat Oct 12 11:39:55 GMT 2024","0","tests.helpers.tests","test_custom_assert","","","","test_02[object0]",""
"skipped","Sat Oct 12 11:39:55 GMT 2024","Sat Oct 12 11:39:55 GMT 2024","0","tests.unit.crud","test_user","TestUser","","","test_01",""
"passed","Sat Oct 12 11:39:56 GMT 2024","Sat Oct 12 11:39:56 GMT 2024","0","tests.unit.models","test_defaultdict","TestDefaultDict","","","test_defaultdict_list",""
"passed","Sat Oct 12 11:39:56 GMT 2024","Sat Oct 12 11:39:56 GMT 2024","0","tests.unit.models","test_case","TestCase","","","test_invalid_case",""
"passed","Sat Oct 12 11:39:56 GMT 2024","Sat Oct 12 11:39:56 GMT 2024","0","tests.unit.models","test_defaultdict","TestDefaultDict","","","test_defaultdict_type_conversion",""
"skipped","Sat Oct 12 11:39:56 GMT 2024","Sat Oct 12 11:39:56 GMT 2024","0","tests.unit.crud","test_user","TestUser","","","test_01",""
"passed","Sat Oct 12 11:39:56 GMT 2024","Sat Oct 12 11:39:56 GMT 2024","0","tests.unit.models","test_for_pythonista","TestForPythonista","","","test_for",""
"skipped","Sat Oct 12 11:39:56 GMT 2024","Sat Oct 12 11:39:56 GMT 2024","0","tests.unit.models","test_json_assert","","","","test_03",""
"passed","Sat Oct 12 11:39:56 GMT 2024","Sat Oct 12 11:39:56 GMT 2024","1","tests.unit.models","test_user","TestAge","","","test_one[input_birth_day4-1]",""
"passed","Sat Oct 12 11:39:56 GMT 2024","Sat Oct 12 11:39:56 GMT 2024","0","tests.unit.models","test_defaultdict","TestGroupBy","","","test_group_by",""
"skipped","Sat Oct 12 11:39:56 GMT 2024","Sat Oct 12 11:39:56 GMT 2024","1","tests.unit.schemas","test_json","TestJson","","","test_02[{""value"": {""a"": ""b""}}]",""
"passed","Sat Oct 12 11:39:56 GMT 2024","Sat Oct 12 11:39:56 GMT 2024","0","tests.unit.models","test_nested","TestNested","","","test_1",""
