"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_01[1_1]","tests.helpers.tests","Wed Dec 31 14:04:56 UTC 2025","passed","Wed Dec 31 14:04:56 UTC 2025","","test_custom_assert","",""
"","1","test_defaultdict_vs_dict","tests.unit.models","Wed Dec 31 14:04:58 UTC 2025","passed","Wed Dec 31 14:04:58 UTC 2025","TestDefaultDict","test_defaultdict","",""
"","0","test_get_single","tests.unit.models","Wed Dec 31 14:04:58 UTC 2025","passed","Wed Dec 31 14:04:58 UTC 2025","TestUser","test_user","",""
"","0","test_2","tests.unit.models","Wed Dec 31 14:04:58 UTC 2025","passed","Wed Dec 31 14:04:58 UTC 2025","TestNested > TestMethodB > TestConditionB","test_nested","",""
"","171","test_02","tests.scenario","Wed Dec 31 14:04:56 UTC 2025","passed","Wed Dec 31 14:04:56 UTC 2025","TestException","test_exception","",""
"","0","test_01","tests.helpers","Wed Dec 31 14:04:56 UTC 2025","skipped","Wed Dec 31 14:04:56 UTC 2025","TestAws","test_aws","",""
"","0","test_defaultdict_custom_function","tests.unit.models","Wed Dec 31 14:04:58 UTC 2025","passed","Wed Dec 31 14:04:58 UTC 2025","TestDefaultDict","test_defaultdict","",""
"","0","test_defaultdict_basic","tests.unit.models","Wed Dec 31 14:04:58 UTC 2025","passed","Wed Dec 31 14:04:58 UTC 2025","TestDefaultDict","test_defaultdict","",""
"","1","test_is_valid[あいうえお+あいうえお@example.com-False]","tests.unit.schemas","Wed Dec 31 14:04:58 UTC 2025","passed","Wed Dec 31 14:04:58 UTC 2025","TestCustomEmailStr > TestIsValid","test_common","",""
"
pydantic
","0","test_04","tests.unit.schemas","Wed Dec 31 14:04:58 UTC 2025","passed","Wed Dec 31 14:04:58 UTC 2025","TestTimezone","test_datetime_serialize","",""
"","4","test_01","tests.helpers","Wed Dec 31 14:04:56 UTC 2025","passed","Wed Dec 31 14:04:56 UTC 2025","TestMailer > TestLocal","test_mailer","",""
"","0","test_is_chronological_with_tz","tests.unit.helper","Wed Dec 31 14:04:57 UTC 2025","passed","Wed Dec 31 14:04:57 UTC 2025","TestDateTimeResolver > TestIsChronological","test_datetime_resolver","",""
"","0","test_to_json","tests.unit.models","Wed Dec 31 14:04:58 UTC 2025","passed","Wed Dec 31 14:04:58 UTC 2025","TestToJson","test_to_json","",""
"","0","test_03[value2]","tests.unit.schemas","Wed Dec 31 14:04:58 UTC 2025","skipped","Wed Dec 31 14:04:58 UTC 2025","TestJson","test_json","",""
"","0","test_02[object0]","tests.helpers.tests","Wed Dec 31 14:04:56 UTC 2025","passed","Wed Dec 31 14:04:56 UTC 2025","","test_custom_assert","",""
"
pydantic経由しても同様
","0","test_03","tests.unit.schemas","Wed Dec 31 14:04:58 UTC 2025","passed","Wed Dec 31 14:04:58 UTC 2025","TestTimezone","test_datetime_serialize","",""
"","11","test_add_and_expunge","tests.unit.models","Wed Dec 31 14:04:58 UTC 2025","passed","Wed Dec 31 14:04:58 UTC 2025","TestTask > TestGetTasksWithDoneInnerJoin > TestExpunge > TestOneToMany","test_task","",""
"","0","test_1","tests.unit.models","Wed Dec 31 14:04:58 UTC 2025","passed","Wed Dec 31 14:04:58 UTC 2025","TestNested > TestMethodB > TestConditionA","test_nested","",""
"","5","test_03","tests.unit.crud","Wed Dec 31 14:04:56 UTC 2025","passed","Wed Dec 31 14:04:56 UTC 2025","TestUser > TestDefault","test_user","",""
"","1","test_01","tests.unit","Wed Dec 31 14:04:58 UTC 2025","passed","Wed Dec 31 14:04:58 UTC 2025","TestRaiseError","test_raise_error","",""
"","1","test_02[{""value"": {""a"": ""b""}}]","tests.unit.schemas","Wed Dec 31 14:04:58 UTC 2025","passed","Wed Dec 31 14:04:58 UTC 2025","TestJson","test_json","",""
"","9","test_setter","tests.unit.crud","Wed Dec 31 14:04:57 UTC 2025","passed","Wed Dec 31 14:04:57 UTC 2025","TestUser > TestName","test_user","",""
"","56","test_is_valid[aiueo@example.com-True]","tests.unit.schemas","Wed Dec 31 14:04:58 UTC 2025","passed","Wed Dec 31 14:04:58 UTC 2025","TestCustomEmailStr > TestIsValid","test_common","",""
"","0","test_group_by","tests.unit.models","Wed Dec 31 14:04:58 UTC 2025","passed","Wed Dec 31 14:04:58 UTC 2025","TestGroupBy > TestItertools","test_defaultdict","",""
"","0","test_02","tests.unit.models","Wed Dec 31 14:04:58 UTC 2025","passed","Wed Dec 31 14:04:58 UTC 2025","TestTuple","test_tuple","",""
"
ilikeを使用しないパターン
","6","test_lower_case","tests.unit.crud","Wed Dec 31 14:04:57 UTC 2025","passed","Wed Dec 31 14:04:57 UTC 2025","TestUser > TestFindByEmail > TestPartialMatch","test_user","",""
"","201","test_decolator","tests.unit.helper","Wed Dec 31 14:04:57 UTC 2025","passed","Wed Dec 31 14:04:58 UTC 2025","TestTimeitContextManager","test_helper","",""
"","0","test_group_by","tests.unit.models","Wed Dec 31 14:04:58 UTC 2025","passed","Wed Dec 31 14:04:58 UTC 2025","TestGroupBy > TestDefaultDict","test_defaultdict","",""
"
tzありとなしは比較不可
","0","test_02","tests.unit.schemas","Wed Dec 31 14:04:58 UTC 2025","passed","Wed Dec 31 14:04:58 UTC 2025","TestTimezone","test_datetime_serialize","",""
"","0","test_defaultdict_list","tests.unit.models","Wed Dec 31 14:04:58 UTC 2025","passed","Wed Dec 31 14:04:58 UTC 2025","TestDefaultDict","test_defaultdict","",""
"","0","test_is_lower[aiueo@example.com]","tests.unit.schemas","Wed Dec 31 14:04:58 UTC 2025","passed","Wed Dec 31 14:04:58 UTC 2025","TestCustomEmailStr > TestIsValid","test_common","",""
"
lazyがselectだけダメな模様？


:param db:
:return:
","5","test_not_lazy_default","tests.unit.crud","Wed Dec 31 14:04:57 UTC 2025","passed","Wed Dec 31 14:04:57 UTC 2025","TestUserRelationShip","test_user","",""
"","0","test_04","tests.unit.models","Wed Dec 31 14:04:58 UTC 2025","passed","Wed Dec 31 14:04:58 UTC 2025","TestFlatmap","test_flatmap","",""
"","0","test_03","tests.unit.models","Wed Dec 31 14:04:58 UTC 2025","passed","Wed Dec 31 14:04:58 UTC 2025","TestFlatmap","test_flatmap","",""
"","6","test_01","tests.unit.crud","Wed Dec 31 14:04:56 UTC 2025","passed","Wed Dec 31 14:04:56 UTC 2025","TestUser > TestDefault","test_user","",""
"
デフォルト引数をミュータブルにするとダメ.

https://docs.python.org/ja/3/reference/compound_stmts.html#grammar-token-python-grammar-parameter:~:text=%E3%83%86%E3%82%99%E3%83%95%E3%82%A9%E3%83%AB%E3%83%88%E5%BC%95%E6%95%B0%E3%81%AE%E5%BC%8F%E3%81%AF%E9%96%A2%E6%95%B0%E3%81%8B%E3%82%99%E5%AE%9A%E7%BE%A9%E3%81%95%E3%82%8C%E3%82%8B%E3%81%A8%E3%81%8D%E3%81%AB%E3%81%9F%E3%81%9F%E3%82%99%E4%B8%80%E5%BA%A6%E3%81%9F%E3%82%99%E3%81%91%E8%A9%95%E4%BE%A1%E3%81%95%E3%82%8C%E3%80%81%E5%90%8C%E3%81%97%E3%82%99%20%22%E8%A8%88%E7%AE%97%E6%B8%88%E3%81%BF%E3%81%AE%22%20%E5%80%A4%E3%81%8B%E3%82%99%E5%91%BC%E3%81%B2%E3%82%99%E5%87%BA%E3%81%97%E3%81%AE%E3%81%9F%E3%81%B2%E3%82%99%E3%81%AB%E4%BD%BF%E7%94%A8%E3%81%95%E3%82%8C%E3%82%8B%E3%81%93%E3%81%A8%E3%82%92%E6%84%8F%E5%91%B3%E3%81%97%E3%81%BE%E3%81%99%E3%80%82
","0","test_01","tests.unit.models","Wed Dec 31 14:04:58 UTC 2025","passed","Wed Dec 31 14:04:58 UTC 2025","TestDefaultParameter","test_default_parameter","",""
"","0","test_is_identical_dates","tests.unit.helper","Wed Dec 31 14:04:57 UTC 2025","passed","Wed Dec 31 14:04:57 UTC 2025","TestDateTimeResolver > TestIsChronological","test_datetime_resolver","",""
"","0","test_add","tests.unit.models","Wed Dec 31 14:04:58 UTC 2025","passed","Wed Dec 31 14:04:58 UTC 2025","Test","test_inherit_enum","",""
"","0","test_deserialize","tests.unit.schemas","Wed Dec 31 14:04:58 UTC 2025","passed","Wed Dec 31 14:04:58 UTC 2025","TestCustomDatetime","test_datetime_serialize","",""
"","0","test_is_valid[aiueo+０@example.com-False]","tests.unit.schemas","Wed Dec 31 14:04:58 UTC 2025","passed","Wed Dec 31 14:04:58 UTC 2025","TestCustomEmailStr > TestIsValid","test_common","",""
"","0","test_1","tests.unit.models","Wed Dec 31 14:04:58 UTC 2025","passed","Wed Dec 31 14:04:58 UTC 2025","TestNested > TestMethodA","test_nested","",""
"","0","test_one_value","tests.unit.helper","Wed Dec 31 14:04:57 UTC 2025","passed","Wed Dec 31 14:04:57 UTC 2025","TestDateTimeResolver > TestIsChronological","test_datetime_resolver","",""
"","0","test_salt","tests.unit.usecase","Wed Dec 31 14:04:58 UTC 2025","passed","Wed Dec 31 14:04:58 UTC 2025","TestTotp > TestCreateSalt","test_usecase_totp","",""
"","20","test_create_and_read","tests.scenario","Wed Dec 31 14:04:56 UTC 2025","passed","Wed Dec 31 14:04:56 UTC 2025","","test_task","",""
