"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 11 12:35:34 GMT 2025","Sun May 11 12:35:34 GMT 2025","0","tests.unit.models","test_for_pythonista","TestForPythonista","","","test_for",""
"passed","Sun May 11 12:35:34 GMT 2025","Sun May 11 12:35:34 GMT 2025","0","tests.unit.models","test_defaultdict","TestGroupBy","","","test_group_by",""
"skipped","Sun May 11 12:35:34 GMT 2025","Sun May 11 12:35:34 GMT 2025","1","tests.unit.models","test_task","TestTask","","","test_delete_expunge",""
"passed","Sun May 11 12:35:34 GMT 2025","Sun May 11 12:35:34 GMT 2025","0","tests.unit.models","test_user","TestAge","","","test_one[\u524d\u65e5]",""
"passed","Sun May 11 12:35:34 GMT 2025","Sun May 11 12:35:34 GMT 2025","0","tests.unit.helper","test_datetime_resolver","TestDateTimeResolver","","","test_is_invalid_case",""
"passed","Sun May 11 12:35:34 GMT 2025","Sun May 11 12:35:34 GMT 2025","0","tests.unit.models","test_case","TestCase","","","test_point[0-100-Y-axis]",""
"passed","Sun May 11 12:35:34 GMT 2025","Sun May 11 12:35:34 GMT 2025","0","tests.unit.models","test_default_parameter","TestDefaultParameter","","","test_01","
デフォルト引数をミュータブルにするとダメ.

https://docs.python.org/ja/3/reference/compound_stmts.html#grammar-token-python-grammar-parameter:~:text=%E3%83%86%E3%82%99%E3%83%95%E3%82%A9%E3%83%AB%E3%83%88%E5%BC%95%E6%95%B0%E3%81%AE%E5%BC%8F%E3%81%AF%E9%96%A2%E6%95%B0%E3%81%8B%E3%82%99%E5%AE%9A%E7%BE%A9%E3%81%95%E3%82%8C%E3%82%8B%E3%81%A8%E3%81%8D%E3%81%AB%E3%81%9F%E3%81%9F%E3%82%99%E4%B8%80%E5%BA%A6%E3%81%9F%E3%82%99%E3%81%91%E8%A9%95%E4%BE%A1%E3%81%95%E3%82%8C%E3%80%81%E5%90%8C%E3%81%97%E3%82%99%20%22%E8%A8%88%E7%AE%97%E6%B8%88%E3%81%BF%E3%81%AE%22%20%E5%80%A4%E3%81%8B%E3%82%99%E5%91%BC%E3%81%B2%E3%82%99%E5%87%BA%E3%81%97%E3%81%AE%E3%81%9F%E3%81%B2%E3%82%99%E3%81%AB%E4%BD%BF%E7%94%A8%E3%81%95%E3%82%8C%E3%82%8B%E3%81%93%E3%81%A8%E3%82%92%E6%84%8F%E5%91%B3%E3%81%97%E3%81%BE%E3%81%99%E3%80%82
"
"passed","Sun May 11 12:35:33 GMT 2025","Sun May 11 12:35:33 GMT 2025","0","tests.helpers.tests","test_custom_assert","","","","test_02[object0]",""
"passed","Sun May 11 12:35:34 GMT 2025","Sun May 11 12:35:34 GMT 2025","0","tests.unit.helper","test_datetime_resolver","TestDateTimeResolver","","","test_mixed_tz_and_not_tz","
TZありと無しが混在している場合には、UTCとして比較できること
"
"skipped","Sun May 11 12:35:34 GMT 2025","Sun May 11 12:35:34 GMT 2025","0","tests.unit.models","test_jwt","","","","test_not_enough_segments",""
"skipped","Sun May 11 12:35:33 GMT 2025","Sun May 11 12:35:33 GMT 2025","0","tests.unit.crud","test_user","TestUser","","","test_soft_destroyed_name",""
"passed","Sun May 11 12:35:33 GMT 2025","Sun May 11 12:35:33 GMT 2025","114","tests.scenario","test_healthcheck","","","","test_response_json",""
