"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 16 12:53:11 GMT 2024","Mon Sep 16 12:53:11 GMT 2024","0","tests.unit.decolator","test_decolator","","","","test_02",""
"passed","Mon Sep 16 12:53:11 GMT 2024","Mon Sep 16 12:53:11 GMT 2024","6","tests.unit.crud","test_user","TestUser","","","test_parameter_upper",""
"passed","Mon Sep 16 12:53:11 GMT 2024","Mon Sep 16 12:53:11 GMT 2024","8","tests.unit.crud","test_user","TestUserRelationShip","","","test_immediate","
        これを有効活用した方が早いのかも…。
        "
"passed","Mon Sep 16 12:53:11 GMT 2024","Mon Sep 16 12:53:11 GMT 2024","0","tests.unit.schemas","test_datetime_serialize","TestCustomDatetime","","","test_deserialize",""
"passed","Mon Sep 16 12:53:11 GMT 2024","Mon Sep 16 12:53:11 GMT 2024","0","tests.unit.models","test_default_parameter","TestDefaultParameter","","","test_01","
        デフォルト引数をミュータブルにするとダメ.

        https://docs.python.org/ja/3/reference/compound_stmts.html#grammar-token-python-grammar-parameter:~:text=%E3%83%86%E3%82%99%E3%83%95%E3%82%A9%E3%83%AB%E3%83%88%E5%BC%95%E6%95%B0%E3%81%AE%E5%BC%8F%E3%81%AF%E9%96%A2%E6%95%B0%E3%81%8B%E3%82%99%E5%AE%9A%E7%BE%A9%E3%81%95%E3%82%8C%E3%82%8B%E3%81%A8%E3%81%8D%E3%81%AB%E3%81%9F%E3%81%9F%E3%82%99%E4%B8%80%E5%BA%A6%E3%81%9F%E3%82%99%E3%81%91%E8%A9%95%E4%BE%A1%E3%81%95%E3%82%8C%E3%80%81%E5%90%8C%E3%81%97%E3%82%99%20%22%E8%A8%88%E7%AE%97%E6%B8%88%E3%81%BF%E3%81%AE%22%20%E5%80%A4%E3%81%8B%E3%82%99%E5%91%BC%E3%81%B2%E3%82%99%E5%87%BA%E3%81%97%E3%81%AE%E3%81%9F%E3%81%B2%E3%82%99%E3%81%AB%E4%BD%BF%E7%94%A8%E3%81%95%E3%82%8C%E3%82%8B%E3%81%93%E3%81%A8%E3%82%92%E6%84%8F%E5%91%B3%E3%81%97%E3%81%BE%E3%81%99%E3%80%82
        "
"passed","Mon Sep 16 12:53:12 GMT 2024","Mon Sep 16 12:53:12 GMT 2024","1","tests.unit","test_raise_error","TestRaiseError","","","test_01",""
"passed","Mon Sep 16 12:53:11 GMT 2024","Mon Sep 16 12:53:11 GMT 2024","0","tests.unit.models","test_case","TestCase","","","test_get_class[dev-Mailer]",""
"passed","Mon Sep 16 12:53:11 GMT 2024","Mon Sep 16 12:53:11 GMT 2024","0","tests.unit.decolator","test_decolator","","","","test_01",""
"passed","Mon Sep 16 12:53:11 GMT 2024","Mon Sep 16 12:53:11 GMT 2024","7","tests.unit.crud","test_user","TestUserRelationShip","","","test_01",""
"skipped","Mon Sep 16 12:53:11 GMT 2024","Mon Sep 16 12:53:11 GMT 2024","0","tests.unit.models","test_json_assert","","","","test_02",""
"skipped","Mon Sep 16 12:53:11 GMT 2024","Mon Sep 16 12:53:11 GMT 2024","0","tests.unit.models","test_search","","","","test_03",""
"passed","Mon Sep 16 12:53:11 GMT 2024","Mon Sep 16 12:53:11 GMT 2024","0","tests.unit.schemas","test_json","TestJson","","","test_02[{""value"": {""a"": ""b""}}]",""
"passed","Mon Sep 16 12:53:11 GMT 2024","Mon Sep 16 12:53:11 GMT 2024","1","tests.unit.models","test_for_pythonista","TestForPythonista","","","test_for",""
"passed","Mon Sep 16 12:53:11 GMT 2024","Mon Sep 16 12:53:11 GMT 2024","1","tests.unit.models","test_minors","TestIterator","","","test_one",""
"skipped","Mon Sep 16 12:53:11 GMT 2024","Mon Sep 16 12:53:11 GMT 2024","0","tests.unit.models","test_search","","","","test_02",""
"passed","Mon Sep 16 12:53:11 GMT 2024","Mon Sep 16 12:53:11 GMT 2024","0","tests.unit.schemas","test_fcc","TestNonEmptyList","","","test_01",""
"skipped","Mon Sep 16 12:53:11 GMT 2024","Mon Sep 16 12:53:11 GMT 2024","0","tests.unit.models","test_no_inspection_available","TestNoInspectionAvailable","","","test_02",""
"passed","Mon Sep 16 12:53:10 GMT 2024","Mon Sep 16 12:53:10 GMT 2024","1","tests.helpers.tests","test_custom_assert","","","","test_01[True]",""
"passed","Mon Sep 16 12:53:11 GMT 2024","Mon Sep 16 12:53:11 GMT 2024","0","tests.unit.models","test_user","TestAge","","","test_one[input_birth_day0-0]",""
"passed","Mon Sep 16 12:53:12 GMT 2024","Mon Sep 16 12:53:12 GMT 2024","0","tests.unit.schemas","test_json","TestJson","","","test_02[value1]",""
"passed","Mon Sep 16 12:53:11 GMT 2024","Mon Sep 16 12:53:11 GMT 2024","0","tests.unit.models","test_case","TestCase","","","test_point[100-0-X-axis]",""
"passed","Mon Sep 16 12:53:11 GMT 2024","Mon Sep 16 12:53:11 GMT 2024","31","tests.scenario","test_task","","","","test_create_and_read",""
"passed","Mon Sep 16 12:53:11 GMT 2024","Mon Sep 16 12:53:11 GMT 2024","8","tests.unit.crud","test_user","TestUser","","","test_02",""
"passed","Mon Sep 16 12:53:11 GMT 2024","Mon Sep 16 12:53:11 GMT 2024","0","tests.unit.models","test_case","TestCase","","","test_invalid_case",""
"passed","Mon Sep 16 12:53:11 GMT 2024","Mon Sep 16 12:53:11 GMT 2024","0","tests.unit.schemas","test_datetime_serialize","TestFieldSerializer","","","test_01",""
"passed","Mon Sep 16 12:53:11 GMT 2024","Mon Sep 16 12:53:11 GMT 2024","5","tests.unit.crud","test_user","TestUser","","","test_cant_find_app_name","
            DBの kirimaru ではなく、Appで加工した「削除済ユーザ」で検索するので、Appを経由すると取得できない。
            "
"passed","Mon Sep 16 12:53:11 GMT 2024","Mon Sep 16 12:53:11 GMT 2024","0","tests.unit.models","test_nested","TestNested","","","test_2",""
"skipped","Mon Sep 16 12:53:10 GMT 2024","Mon Sep 16 12:53:10 GMT 2024","0","tests.scenario","test_exception","TestException","","","test_01",""
"passed","Mon Sep 16 12:53:08 GMT 2024","Mon Sep 16 12:53:10 GMT 2024","2855","tests.helpers","test_aws","TestAws","","","test_01",""
"passed","Mon Sep 16 12:53:11 GMT 2024","Mon Sep 16 12:53:11 GMT 2024","10","tests.unit.crud","test_user","TestUser","","","test_01",""
"passed","Mon Sep 16 12:53:11 GMT 2024","Mon Sep 16 12:53:11 GMT 2024","0","tests.unit.models","test_jwt","","","","test_expected_same_token",""
"passed","Mon Sep 16 12:53:11 GMT 2024","Mon Sep 16 12:53:11 GMT 2024","0","tests.unit.models","test_case","TestCase","","","test_point[0-0-Origin]",""
"passed","Mon Sep 16 12:53:11 GMT 2024","Mon Sep 16 12:53:11 GMT 2024","0","tests.unit.models","test_case","TestCase","","","test_point[100-100-Somewhere else]",""
"passed","Mon Sep 16 12:53:11 GMT 2024","Mon Sep 16 12:53:11 GMT 2024","6","tests.unit.crud","test_user","TestUser","","","test_lower_case","
                ilikeを使用しないパターン
                "
"passed","Mon Sep 16 12:53:11 GMT 2024","Mon Sep 16 12:53:11 GMT 2024","0","tests.unit.schemas","test_json","TestJson","","","test_01[value1-True]",""
"passed","Mon Sep 16 12:53:11 GMT 2024","Mon Sep 16 12:53:11 GMT 2024","0","tests.unit.models","test_case","TestCase","","","test_point[0-100-Y-axis]",""
"passed","Mon Sep 16 12:53:10 GMT 2024","Mon Sep 16 12:53:10 GMT 2024","0","tests.helpers.tests","test_custom_assert","","","","test_02[object0]",""
"passed","Mon Sep 16 12:53:11 GMT 2024","Mon Sep 16 12:53:11 GMT 2024","5","tests.unit.crud","test_user","TestUser","","","test_01",""
"passed","Mon Sep 16 12:53:11 GMT 2024","Mon Sep 16 12:53:11 GMT 2024","1","tests.unit.models","test_object","TestHogeFuga","","","test_01",""
"passed","Mon Sep 16 12:53:11 GMT 2024","Mon Sep 16 12:53:11 GMT 2024","0","tests.unit.models","test_inherit_enum","Test","","","test_normal",""
"passed","Mon Sep 16 12:53:12 GMT 2024","Mon Sep 16 12:53:12 GMT 2024","27","tests.unit.usecase","test_usecase_totp","TestTotp","","","test_salt",""
"passed","Mon Sep 16 12:53:11 GMT 2024","Mon Sep 16 12:53:11 GMT 2024","0","tests.unit.models","test_nested","TestNested","","","test_1",""
